anon_ticket_number,issue_datetime,state,anon_plate_id,division,location,violation_desc,fine,issuing_agency,lat,lon,gps,zip_code
8539537,2017-08-26 22:07:00,PA,4575569,,100 RECTOR ST,HP RAMP BLOCKED,76,PPA,40.025322,-75.22016,true,19127
8539538,2017-08-26 22:15:00,PA,4575570,,100 HERMIT ST,HP RAMP BLOCKED,76,PPA,40.020597,-75.21484,true,19127
8539524,2017-08-26 23:02:00,PA,4575558,,400 N FRONT ST,FIRE HYDRANT,76,PPA,39.958633,-75.139488,true,19123
8539525,2017-09-09 00:42:00,PA,4575559,,900 ARCH ST,STOP PROHIBITED CC,76,PPA,39.95344,-75.155653,true,19107
8539526,2017-07-06 12:45:00,PA,821188,,226 N 9TH ST,METER EXPIRED CC,36,PPA,39.955978,-75.154098,true,19107
8539527,2017-08-26 23:09:00,PA,4575560,,1 NOBLE ST,IMPROPER ON 2WAY HWY,31,PPA,39.959267,-75.138967,true,19123
8539528,2017-08-26 17:11:00,PA,4575561,,530 S 4TH ST,PASSENGR LOADNG ZONE,31,PPA,39.942097,-75.149113,true,19147
8539529,2017-08-26 17:17:00,PA,4575562,,303 SOUTH ST,METER EXPIRED CC,36,PPA,39.941463,-75.147805,true,19147
8539530,2017-08-26 19:25:00,PA,4575563,,4400 MAIN ST,METER EXPIRED,26,PPA,40.026762,-75.226587,true,19127
8539531,2017-08-26 19:41:00,PA,4575564,,4200 MAIN ST,METER EXPIRED,26,PPA,40.02414,-75.221002,true,19127
8539532,2017-08-26 19:44:00,PA,4575565,,4300 MAIN ST,METER EXPIRED,26,PPA,40.024627,-75.22176,true,19127
8539533,2017-08-26 19:48:00,NJ,4575566,,4399 MAIN ST,METER EXPIRED,26,PPA,40.025465,-75.22367,true,19127
8539534,2017-08-26 21:32:00,PA,4575567,,4300 CRESSON ST,OVER TIME LIMIT,26,PPA,40.026235,-75.223738,true,19127
8539536,2017-08-26 21:35:00,PA,4575568,,4300 CRESSON ST,OVER TIME LIMIT,26,PPA,40.025842,-75.222722,true,19127
8539537,2017-08-26 22:07:00,PA,4575569,,100 RECTOR ST,HP RAMP BLOCKED,76,PPA,40.025322,-75.22016,true,19127
8539538,2017-08-26 22:15:00,PA,4575570,,100 HERMIT ST,HP RAMP BLOCKED,76,PPA,40.020597,-75.21484,true,19127
8539539,2017-09-23 01:00:00,PA,4575570,,100 MALLORY ST,CORNER CLEARANCE,51,POLICE,40.0289973759425,-75.22847836501,false,19127
8539540,2017-08-26 22:29:00,PA,4575571,,4400 DEXTER ST,HP RESERVED SPACE,301,PPA,40.030107,-75.220522,true,19128
8539541,2017-09-14 23:30:00,PA,4575571,,4400 DEXTER ST,OVER TIME LIMIT,26,PPA,40.030137,-75.220463,true,19128
8539542,2017-08-26 23:00:00,PA,4575572,,4300 FLEMING ST,PARKING PROHBITED,41,PPA,40.027317,-75.218582,true,19128
8539543,2017-08-26 16:44:00,PA,4575573,,500 S 4TH ST,METER EXPIRED CC,36,PPA,40,-75,true,19147
8539544,2017-08-26 16:50:00,DE,4575574,,505 SOUTH ST,METER EXPIRED CC,36,PPA,39.941923,-75.151088,true,19147
8539545,2017-09-22 20:44:00,PA,1106514,,1900 WALNUT ST,METER EXPIRED CC,36,PPA,39.950448,-75.173357,true,19103
8539546,2017-07-06 12:51:00,PA,711647,,226 N 9TH ST,METER EXPIRED CC,36,PPA,39.956003,-75.154125,true,19107
8539547,2017-07-26 14:09:00,PA,711647,,200 S 40TH ST,LOADING ZONE   CC,51,PPA,39.953473,-75.202667,true,19104
8539548,2017-08-03 16:49:00,VA,4575575,,4100 MAIN ST,EXPIRED INSPECTION,41,PPA,40.022668,-75.218908,true,19127
8539549,2017-09-19 10:39:00,VA,4575575,,1600 MARKET ST,METER EXPIRED CC,36,PPA,39.952988,-75.167552,true,19103
8539550,2017-09-19 08:15:00,PA,4575576,,1700 MORRIS ST,SCHOOL ZONE,36,PPA,39.930095,-75.174948,true,19145
8539551,2017-07-14 09:52:00,PA,4575577,,1400 SOUTH ST,METER EXPIRED CC,36,PPA,39.943792,-75.166497,true,19146
8539552,2017-09-07 20:47:00,PA,1274371,,199 S 18TH ST,METER EXPIRED CC,36,PPA,39.950213,-75.170647,true,19103
8539553,2017-08-26 17:02:00,PA,4575578,,700 SOUTH ST,METER EXPIRED CC,36,PPA,39.942487,-75.155107,true,19147
8539554,2017-09-28 20:32:00,PA,4575579,,1 N 19TH ST,METER EXPIRED CC,36,PPA,39.953397,-75.17135,true,19103
8539558,2017-08-16 11:38:00,PA,4575581,,321 S 18TH ST,METER EXPIRED CC,36,PPA,39.947063,-75.171365,true,19103
